Step,Value
632,73
1380,18
1502,49
2192,22
2758,61
4363,52
4710,35
6851,12
6904,10
7110,10
7395,46
9083,23
9306,192
10219,104
16912,17
19532,52
21314,9
21439,8
30710,52
31670,9
31823,9
31893,10
31906,13
32482,45
33806,54
34218,24
34930,38
36669,22
37091,51
39750,55
40147,60
41058,48
41132,36
42539,139
43050,58
45466,107
50722,31
52219,45
52272,53
52686,44
53711,11
54162,9
55892,36
56374,141
59373,174
60328,37
63358,46
64411,142
69687,69
71914,110
75196,291
75597,55
77356,184
77864,66
82992,119
83910,133
85558,8
85669,9
85763,10
86040,10
86142,9
86276,10
86580,10
86849,9
86997,9
87146,9
87184,9
87343,10
87670,9
88148,8
88323,11
88408,10
88539,9
88557,9
88585,9
88993,9
89419,9
89586,9
89668,9
89790,10
89819,11
89893,10
90267,10
90424,9
90512,9
90541,10
91042,10
91366,8
91751,9
91826,9
91866,10
91933,10
92783,10
92891,10
93005,10
93195,9
93241,9
93251,10
93439,10
93486,9
93902,10
94013,8
94254,8
94337,9
94665,9
94675,10
94696,10
95106,9
95265,10
95281,8
95330,10
95562,10
95571,9
95665,9
95683,9
95729,10
95860,9
95921,11
96008,11
96145,8
96204,11
97444,8
97609,10
97951,9
98086,10
98403,9
99404,10
100068,9
100478,10
100736,9
100765,10
101304,10
101886,8
102210,9
102527,10
102624,10
102659,10
102677,9
102687,10
103234,9
103603,9
103888,8
104823,10
105024,9
105209,10
105349,11
105498,9
106637,10
106805,9
106825,11
107161,10
107297,10
107818,9
107855,10
107958,10
108448,10
108649,10
108695,9
108714,9
108808,10
109108,10
109707,10
109973,10
110235,9
110592,10
110695,10
110723,9
111260,9
111308,10
111414,10
112098,10
112210,9
112228,10
112287,9
112518,9
112566,11
112592,10
112844,8
112874,10
113230,10
113352,10
113369,8
114132,9
114437,9
115003,11
115160,10
115353,9
115798,9
115829,10
116272,10
116612,10
116650,10
116727,9
117072,9
117418,10
117491,9
117770,8
117881,9
117899,10
118247,8
118361,11
118754,9
119393,9
119478,8
119506,9
120203,9
120224,11
120234,10
120734,8
120989,10
121599,9
121971,9
122819,8
122970,10
123100,9
123671,11
123870,10
124566,9
124585,9
124882,9
125240,9
125925,9
125963,10
126100,10
126492,10
126518,9
127009,10
127313,10
127472,9
127501,10
127824,10
127842,9
127910,11
128251,9
128449,8
128675,10
128722,10
128778,9
129031,10
129215,10
129262,9
129401,9
129848,8
130255,10
130344,10
130809,9
130987,10
131110,9
131164,8
131283,9
131810,9
132024,10
132070,10
132293,9
132500,9
132622,10
132848,10
133744,11
133784,9
133973,9
134468,8
134559,10
134739,10
135243,9
135326,9
135440,8
135469,10
135609,10
135637,10
135748,9
136006,10
136042,9
136145,9
136894,9
137024,9
137099,9
137236,10
137844,10
138138,9
138382,10
138585,10
139448,10
139525,9
139912,10
140484,9
140776,8
141279,9
141382,10
141551,9
141647,8
141655,8
141834,8
142049,9
142229,10
142594,10
142620,8
142685,10
142779,10
142808,10
142951,9
143257,9
143437,9
144178,10
144505,10
144664,10
144806,10
144911,9
144968,9
145298,9
145466,10
145598,9
145786,8
145859,8
145952,10
146275,9
146889,10
146899,10
147190,9
147747,10
148067,10
148169,9
148281,9
148443,10
149520,9
149556,8
149844,8
149900,9
150444,9
150545,9
150884,10
150934,11
150952,10
151005,9
151222,10
151269,8
151354,10
152209,10
152238,9
152503,10
152552,10
152599,9
153135,10
153385,11
153466,8
153768,9
153777,9
153864,9
154214,9
154288,10
154337,10
155330,10
155498,10
155525,8
155723,10
156059,9
156123,9
156285,8
156303,10
156330,9
156529,11
156593,10
156810,10
156970,10
157136,8
157192,9
157284,9
157711,9
157784,9
157980,10
158642,8
159304,10
159369,9
159621,10
160059,9
160144,9
160444,8
160638,9
161041,10
161069,9
161254,9
161317,9
161560,8
162222,9
162304,10
162371,8
162493,8
162699,10
163054,9
163280,10
163336,9
163559,10
163736,10
164394,8
164811,8
165069,9
165098,10
165475,10
165707,9
166316,8
167041,10
167085,9
167114,10
167359,9
167571,9
167762,9
167914,9
168142,8
168297,9
168940,8
169127,11
169191,9
170253,10
170279,9
170474,10
170522,10
171031,9
171127,9
171165,9
171427,9
171723,9
171733,10
172129,9
172214,9
172372,10
172418,10
172500,10
172653,9
172809,11
173187,9
173533,9
173618,9
173628,10
173836,10
173901,9
174162,8
174256,10
174303,10
174410,8
174496,10
174635,10
174983,8
175011,10
175329,8
175366,10
175578,9
175635,10
175654,10
176023,10
176081,10
176202,10
176248,8
176384,10
176850,8
177030,10
177115,10
177286,10
177532,9
177749,10
177768,9
177777,9
178337,10
178457,10
178817,9
179288,10
179827,8
180165,9
180323,10
180506,10
180795,8
180880,9
181040,10
181115,9
181198,9
181489,8
181862,10
181975,10
182081,10
182180,8
182313,9
182330,9
182666,10
183002,10
183250,9
183391,9
183676,9
183894,10
184061,8
184623,10
184745,9
184763,10
184958,10
185007,10
185136,10
185229,9
185279,10
185343,9
185515,10
185627,9
186539,9
