Step,Value
107,-249.197967529297
218,-117.674842834473
302,-198.490173339844
426,-271.661437988281
512,-232.929244995117
644,-275.479431152344
733,-108.369522094727
862,-244.980209350586
977,-158.43635559082
1067,-279.012115478516
1162,-106.429084777832
1277,-65.0773620605469
1372,-81.9047775268555
1576,-324.968933105469
1879,-570.197265625
2065,-781.2626953125
2239,-651.382141113281
2411,-426.410583496094
2547,-404.4072265625
2687,-349.795471191406
2934,-510.809600830078
3045,-144.422058105469
3217,-416.669311523438
3366,-371.643127441406
3486,-370.458587646484
3685,-255.016342163086
3842,-110.876914978027
3955,-440.88330078125
4140,-203.545486450195
4357,-166.475250244141
4485,-140.538436889648
4645,-247.490859985352
4808,-195.910293579102
4891,-295.275665283203
5181,-231.252990722656
5349,-197.620712280273
5492,-197.319961547852
5590,-196.866729736328
5655,-513.977111816406
5779,-235.022064208984
5909,-241.28581237793
6020,-177.503860473633
6156,-419.864898681641
6324,-151.407669067383
6457,-82.8100662231445
6612,-491.984313964844
6676,-349.667938232422
6835,-358.812835693359
7015,-237.571182250977
7109,-291.071105957031
7361,-255.176635742187
7456,-178.612457275391
7713,207.518295288086
7835,-231.598831176758
7944,52.3322944641113
8100,-65.5542755126953
8186,-14.9053449630737
8334,-172.65348815918
8467,-276.455322265625
9062,217.659912109375
9658,107.301063537598
9834,-465.453521728516
9931,-335.169036865234
10052,-196.662078857422
10175,-282.231811523437
10295,-314.052276611328
10403,-201.231796264648
10735,229.365005493164
10993,-288.345031738281
11150,-56.8961181640625
11287,-162.609436035156
11463,-44.634147644043
12146,116.302337646484
12267,-154.030685424805
12553,-246.061019897461
12701,-214.278854370117
12785,-47.9017219543457
13033,-186.352828979492
13245,-72.5089645385742
13698,280.671325683594
14036,238.69987487793
14156,-196.421310424805
14264,-29.2027606964111
14347,-169.234420776367
14614,-28.3874759674072
14801,-173.584259033203
15801,-118.304313659668
16405,179.483657836914
16718,-4.52380847930908
17718,-80.8045959472656
18061,-30.9588317871094
18784,-346.426635742187
18981,-161.643127441406
19124,64.1334228515625
19214,-37.4576263427734
19346,-153.006240844727
19429,-215.260894775391
19508,-154.079681396484
19702,-49.8271255493164
19949,286.977722167969
20292,-81.9638290405274
20381,-42.5311279296875
20508,-138.307495117188
20608,-34.0948257446289
20698,-262.747009277344
21060,-19.3809566497803
21522,216.153961181641
22114,223.167358398437
22346,13.625563621521
22605,-216.837249755859
23251,175.544952392578
23469,-199.485107421875
23695,-216.226211547852
23799,-5.55558776855469
23983,-191.295593261719
24122,-216.201995849609
24497,-11.9692258834839
24640,-192.216873168945
24879,-194.917205810547
25150,-171.577896118164
25286,-180.061279296875
25518,15.0566120147705
25619,-45.9692497253418
25757,-11.2457599639893
25904,-14.8213424682617
26135,50.7495536804199
26368,-75.9613494873047
26650,-250.442504882812
26748,-75.5832901000977
27278,-248.860015869141
27398,8.99602794647217
27595,-105.793663024902
27890,-80.8548965454102
28309,-31.338249206543
28443,-59.3549537658691
29436,79.1136474609375
29627,-207.131500244141
29766,-166.215194702148
29973,-90.2576751708984
30075,-31.5337905883789
30302,282.56689453125
30406,73.8927612304687
30489,-50.524471282959
30584,-21.0911407470703
31584,-69.9608535766602
32584,-121.156829833984
33584,-144.392364501953
34584,-139.72248840332
35275,121.583946228027
36275,-208.521270751953
