Step,Value
241,186
469,228
712,243
1098,386
1273,175
1758,485
1898,140
2222,324
2442,220
2829,387
3082,253
3566,484
3728,162
3889,161
4189,300
4597,408
4911,314
5205,294
5369,164
5705,336
5878,173
6033,155
6348,315
6575,227
6710,135
6849,139
7104,255
7266,162
7470,204
7625,155
7802,177
7994,192
8404,410
8520,116
8722,202
8832,110
9130,298
9630,500
9798,168
9954,156
10103,149
10286,183
10497,211
10704,207
10925,221
11203,278
11653,450
12008,355
12260,252
12439,179
12678,239
12915,237
13197,282
13418,221
13702,284
14104,402
14257,153
14392,135
14736,344
14902,166
15139,237
15398,259
15618,220
15755,137
15951,196
16152,201
16454,302
16584,130
16719,135
16924,205
17033,109
17220,187
17461,241
17618,157
17764,146
17903,139
18049,146
18318,269
18618,300
18771,153
19136,365
19389,253
19735,346
20164,429
20397,233
20521,124
20801,280
20970,169
21399,429
21546,147
22046,500
22271,225
22434,163
22721,287
22872,151
23136,264
23472,336
23784,312
24251,467
24467,216
24890,423
25282,392
25444,162
25709,265
25923,214
26171,248
26494,323
26722,228
27062,340
27207,145
27391,184
27563,172
27720,157
27806,86
27942,136
28136,194
28344,208
28613,269
28799,186
29001,202
29161,160
29288,127
29691,403
29985,294
30227,242
30522,295
30789,267
31194,405
31530,336
31734,204
32046,312
32255,209
32367,112
32822,455
33187,365
33335,148
33507,172
33712,205
33932,220
34151,219
34531,380
34655,124
34835,180
35044,209
35507,463
35828,321
36039,211
36360,321
36579,219
36726,147
37063,337
37204,141
37503,299
37806,303
37917,111
38205,288
38705,500
38913,208
39269,356
39595,326
40022,427
40219,197
40408,189
40757,349
41021,264
41389,368
41667,278
41898,231
42055,157
42386,331
42772,386
43272,500
43772,500
43973,201
44190,217
44590,400
44904,314
45153,249
45648,495
46112,464
46536,424
46763,227
47104,341
47604,500
47783,179
48053,270
48500,447
48973,473
49168,195
49471,303
49657,186
49877,220
50174,297
50578,404
50734,156
50863,129
51164,301
51540,376
52040,500
52529,489
52761,232
53118,357
53263,145
53393,130
53565,172
53790,225
54096,306
54324,228
54446,122
54574,128
54810,236
55193,383
55490,297
55787,297
56192,405
56692,500
56879,187
57243,364
57514,271
57907,393
58082,175
58525,443
58879,354
59125,246
59392,267
59569,177
59695,126
59877,182
60200,323
60383,183
60883,500
61051,168
61290,239
61574,284
61765,191
61929,164
62279,350
62527,248
63027,500
63232,205
63732,500
63980,248
64127,147
64275,148
64455,180
64856,401
65196,340
65346,150
65801,455
66153,352
66421,268
66807,386
67198,391
67567,369
67750,183
67956,206
68211,255
68452,241
68865,413
69059,194
69277,218
69657,380
70012,355
70169,157
70479,310
70979,500
71136,157
71299,163
71472,173
71628,156
71909,281
72409,500
72909,500
73253,344
73421,168
73897,476
74207,310
74404,197
74589,185
74853,264
75196,343
75696,500
76196,500
76696,500
77196,500
77507,311
77920,413
78348,428
78711,363
79034,323
79441,407
79561,120
80061,500
80223,162
80723,500
81111,388
81343,232
81779,436
82048,269
82314,266
82601,287
82929,328
83131,202
83319,188
83780,461
84037,257
84414,377
84650,236
84973,323
85203,230
85564,361
85750,186
86063,313
86487,424
86977,490
87178,201
87324,146
87558,234
87782,224
88222,440
88480,258
88778,298
88914,136
89070,156
89388,318
89538,150
89904,366
90305,401
90627,322
90745,118
90915,170
91123,208
91375,252
91712,337
92031,319
92331,300
92831,500
93208,377
93532,324
93874,342
94126,252
94382,256
94563,181
94680,117
94944,264
95362,418
95522,160
96022,500
96444,422
96840,396
97096,256
97226,130
97707,481
98207,500
98707,500
99141,434
99448,307
99948,500
100167,219
100612,445
100813,201
101312,499
101689,377
102189,500
102386,197
102886,500
103210,324
103529,319
103859,330
104348,489
104812,464
105312,500
105730,418
106143,413
106643,500
106834,191
107261,427
107407,146
