Step,Value
673,-156.101577758789
947,-82.9667892456055
1233,-371.266876220703
1551,-77.8111877441406
1929,-100.025840759277
2162,-523.024353027344
2283,-185.072708129883
2504,-333.927337646484
2599,-31.2818775177002
2766,-73.4947204589844
2951,-251.063827514648
3047,-206.276443481445
3246,-117.76734161377
3448,-169.785232543945
3594,-68.5263214111328
3905,-50.9822120666504
4184,-190.366683959961
4357,-289.591278076172
5169,-163.341064453125
5375,-301.495208740234
5512,-316.706756591797
5771,-316.523468017578
5979,-352.058288574219
6263,-10.4522848129272
6705,-151.447189331055
6855,-308.564086914062
7280,-16.4540767669678
7492,6.11744499206543
7678,-291.57421875
7830,-178.192016601563
8165,-215.276611328125
8500,-195.707824707031
8719,-99.5036163330078
9203,-95.821174621582
9339,-66.0375747680664
9573,-95.131477355957
9720,-289.783081054687
9925,-146.667587280273
10351,-158.216201782227
10485,-78.8737564086914
11018,-347.869018554687
11318,-74.0813140869141
12318,17.7069969177246
12426,-205.730926513672
12607,-101.516761779785
12753,-50.2982864379883
13079,-224.981719970703
13334,-348.6123046875
13580,-422.602569580078
13720,-259.773956298828
14237,-345.042083740234
14557,-82.9218139648438
14704,-189.760055541992
15054,-37.0485343933105
15144,-50.4207458496094
15452,-112.487648010254
15624,-71.0031967163086
15775,-139.48796081543
15898,-236.780487060547
16025,-280.916961669922
16174,-218.241180419922
16455,-291.743988037109
16632,-270.842742919922
16723,-54.5997772216797
16931,-175.73030090332
17795,-116.134475708008
18426,-28.5131683349609
18834,-54.7050247192383
18945,-261.442810058594
19059,-273.791961669922
20051,-64.0757751464844
20547,34.6682014465332
20898,-278.009552001953
21105,-92.969596862793
21264,-45.464469909668
21845,-31.1655254364014
22016,-296.378997802734
22185,-180.834655761719
22721,-188.418472290039
23721,75.6028518676758
24498,-36.5608901977539
24928,-244.056091308594
25127,-197.371307373047
25538,5.4930305480957
25800,-102.342002868652
25976,-16.9089450836182
26131,-333.261199951172
26292,-62.0921974182129
26490,-227.200042724609
26616,-159.782440185547
27012,-436.312438964844
27131,-14.5485219955444
27240,-143.463241577148
27698,-313.586273193359
27893,-133.363357543945
28017,-153.302337646484
28462,-196.352142333984
28590,-202.850738525391
28768,-257.298614501953
28994,-56.3837661743164
29109,-47.0230293273926
29450,-294.157470703125
29686,-190.468032836914
29963,-219.155563354492
30101,-159.207366943359
30319,-226.430648803711
30781,-205.253204345703
31491,-355.351593017578
31652,-25.3938007354736
31784,-250.372100830078
31939,10.7672691345215
32362,-33.6327247619629
32505,-295.180450439453
32949,-405.394378662109
33362,-216.370819091797
33565,-407.430114746094
33690,-54.8082847595215
33860,-157.392852783203
34255,-200.225921630859
34449,-134.601135253906
36571,11.5782060623169
37436,-291.035522460938
38224,-189.223785400391
38318,-65.3188095092773
38461,-250.97673034668
39002,-108.868438720703
39181,-255.927612304687
39323,-326.046875
39494,-44.0659599304199
39905,-192.259994506836
40037,-78.8118057250977
40260,-244.803558349609
40558,-154.57112121582
40745,-120.087394714355
40909,-62.8016967773438
41152,-2.1767692565918
41305,-260.261810302734
41446,-270.014770507812
41778,-46.2199935913086
41924,-11.6676483154297
42042,-34.5071640014648
42177,-201.173431396484
42372,-248.863418579102
42536,-12.5948238372803
43027,-32.7870979309082
43255,-353.947692871094
43557,-3.56170201301575
44206,-208.661437988281
44355,-76.0560302734375
44661,-163.649353027344
44830,-251.552871704102
44956,8.5840482711792
45115,-167.7744140625
45224,-80.9020462036133
45470,-221.946212768555
45879,-48.8800582885742
46460,-180.182052612305
46639,-235.067855834961
46850,-132.816436767578
47018,-118.590995788574
47334,-116.470886230469
47969,-78.7068099975586
48298,-221.458374023437
48566,-38.5712432861328
48840,-292.323303222656
48945,-197.405014038086
49089,3.89929628372192
49289,-229.489212036133
49560,-44.9331588745117
49759,-256.898590087891
50076,11.6368961334229
50367,-35.876350402832
50658,-325.870758056641
51576,-142.392608642578
51842,-176.805374145508
51979,-274.104797363281
52392,-319.984527587891
52558,-28.9377269744873
52689,-130.695419311523
52932,-167.314270019531
53129,-133.797409057617
53307,-288.416656494141
53471,-11.1052980422974
53593,-117.082901000977
53741,-296.334930419922
53940,-200.029998779297
54565,-25.1317882537842
54679,-70.6311492919922
55185,-48.6193542480469
55660,-139.361465454102
56255,-390.520233154297
56424,-143.316970825195
56554,-167.646820068359
56668,-240.002807617187
56943,-72.1528015136719
57064,-234.813766479492
57167,-166.319671630859
57332,-307.742736816406
57472,-56.7364692687988
57618,-20.9537181854248
58097,24.3922176361084
58218,-170.948287963867
59336,88.5778045654297
59885,-44.0633354187012
60298,-41.5212631225586
60721,-73.4707565307617
61721,41.9012985229492
61867,-275.270416259766
62097,-323.727600097656
62264,22.1946449279785
62435,-43.1821479797363
62592,-62.0733947753906
62745,-186.986907958984
63162,-43.7455215454102
63475,-260.842590332031
63678,-298.129577636719
64027,-324.817932128906
64281,-274.138885498047
64391,-113.780014038086
64547,-58.3091773986816
64667,-66.3963394165039
64904,-95.7389678955078
65062,-187.892715454102
65208,-228.150543212891
65388,-78.6657943725586
65642,-301.087951660156
65804,-110.452217102051
66054,-298.926727294922
66195,-46.2421684265137
66474,-44.9163703918457
67628,29.3442630767822
67739,18.3399753570557
67890,-374.130462646484
68044,-201.694900512695
68167,-1.63934659957886
68417,-225.549835205078
68553,-281.008270263672
68908,-148.963714599609
69052,-13.7282600402832
69184,-296.632965087891
69323,-251.98649597168
69436,-276.538421630859
69791,-215.407608032227
69920,-50.9941253662109
70153,-132.443313598633
70344,-364.461181640625
71138,-244.314636230469
71851,-264.161956787109
72022,-137.316101074219
73170,-32.4880180358887
73296,-141.375717163086
73580,-73.8429794311523
74659,-324.352203369141
74827,-258.975433349609
75211,-246.623657226562
75463,-220.597854614258
75633,-41.4765739440918
75735,-72.2232513427734
76226,-393.586029052734
76548,-53.7277679443359
76900,-70.450065612793
77203,-138.056213378906
77496,-93.0473403930664
77991,-77.7414779663086
78718,-95.2232360839844
78872,-226.415161132812
79002,-35.0902061462402
79161,-198.806716918945
79534,-242.470703125
79748,-226.421340942383
80489,-125.644958496094
80703,-144.104461669922
80911,-34.4454498291016
81375,-40.0236740112305
81831,10.5552015304565
81979,-101.156402587891
82166,-152.246704101562
82363,-82.915168762207
82481,-293.461029052734
82746,-44.8074760437012
82862,-27.4366569519043
82990,-0.635898649692535
83194,-326.023864746094
83344,-33.2437629699707
83557,-255.9111328125
83817,-341.403839111328
84079,-127.535987854004
84375,-244.186233520508
84520,-273.949523925781
85124,-332.814361572266
85288,-75.1413726806641
85929,18.1795864105225
87221,-370.294769287109
87447,-289.580383300781
87932,-150.468872070313
88121,-34.9996109008789
88393,-332.611358642578
88701,-59.0555305480957
89148,-191.329391479492
89339,-351.340728759766
90450,-103.557266235352
90812,-80.6623306274414
91054,-313.520965576172
91209,-16.2217884063721
91441,-284.994934082031
91624,-94.9978637695313
91724,-186.258743286133
91817,-86.8264846801758
92100,-238.289093017578
92284,-348.194641113281
92395,-141.615020751953
92532,-279.582733154297
92744,-235.878402709961
92903,-261.557312011719
93156,-79.2187728881836
94070,-243.834976196289
94232,-61.1667785644531
95178,-183.768661499023
95452,-43.641773223877
95657,-121.901802062988
95750,-34.5875129699707
95857,-177.815658569336
96080,-240.346374511719
96247,-63.1793899536133
96535,-239.943374633789
96768,-215.572067260742
96975,-275.988098144531
97153,-231.501617431641
97304,-53.2799949645996
97498,-31.4241771697998
97730,-231.911895751953
97853,-208.421081542969
97975,-197.201126098633
98174,-34.7167549133301
98334,-265.545684814453
98574,-17.6942863464355
98719,-61.4319152832031
98875,-163.257934570313
99196,-68.1143569946289
99605,-117.074096679688
99942,-363.136688232422
100161,-259.819580078125
100657,-89.9035110473633
100792,-255.446548461914
101091,-166.985580444336
101490,-109.764404296875
101709,-226.647689819336
101916,7.71832752227783
102345,-114.833053588867
102740,-131.361907958984
102986,-266.2578125
103277,-107.897666931152
103391,-43.7540435791016
103540,-182.647232055664
103753,-366.001770019531
103896,-280.812072753906
104055,-31.9039764404297
104161,-194.394012451172
104343,-110.219787597656
104472,-292.047882080078
104858,-198.560760498047
